t,theta,theta_ref,error,p1_cmd,p2_cmd,p1_meas,p2_meas,J_min,J_mean,comp_time_ms,hold_mode,sigma_u
1763324702.8925953,-0.023677190441009008,0.0,0.023677190441009008,0.5456513487163466,0.4948076180752832,0.5700879693031311,0.4612169861793518,0.45514270663261414,4.336010932922363,76.44891738891602,0,0.06634204312890622
1763324702.9803514,-0.025623572867739048,0.0,0.025623572867739048,0.5176384732488077,0.5250761288788635,0.5447947382926941,0.4843108654022217,0.2610273063182831,5.242585182189941,77.32486724853516,0,0.0630249409724609
1763324703.0902934,-0.026974410934460635,0.0,0.026974410934460635,0.5145884972892236,0.5483934845414478,0.5162023305892944,0.4942082166671753,0.4038560390472412,4.169682502746582,99.5795726776123,0,0.05987369392383786
1763324703.188179,-0.028134710099690124,0.0,0.028134710099690124,0.5145238026537118,0.5624093491223174,0.5063049793243408,0.5184017419815063,0.30548226833343506,6.890478134155273,87.66794204711914,0,0.05688000922764597
1763324703.273811,-0.028279026871460534,0.0,0.028279026871460534,0.5186589265734074,0.5758467608701903,0.5063049793243408,0.5458944439888,0.2512199580669403,6.364771842956543,75.27899742126465,0,0.05403600876626367
1763324703.287189,-0.028192335424978773,0.0,0.028192335424978773,0.5186589265734074,0.5758467608701903,0.5063049793243408,0.5458944439888,0.0,0.0,3.011941909790039,1,0.05403600876626367
1763324703.3046653,-0.028157861505269128,0.0,0.028157861505269128,0.5186589265734074,0.5758467608701903,0.5063049793243408,0.5502932667732239,0.0,0.0,0.4200935363769531,1,0.05403600876626367
1763324703.324839,-0.028079093458800154,0.0,0.028079093458800154,0.5186589265734074,0.5758467608701903,0.5074046850204468,0.5557917952537537,0.0,0.0,0.5328655242919922,1,0.05403600876626367
1763324703.3445454,-0.02793120760174839,0.0,0.02793120760174839,0.5186589265734074,0.5758467608701903,0.5085043907165527,0.5601906180381775,0.0,0.0,0.2837181091308594,1,0.05403600876626367
1763324703.3645117,-0.02773921138249988,0.0,0.02773921138249988,0.5186589265734074,0.5758467608701903,0.5074046850204468,0.5645894408226013,0.0,0.0,0.3197193145751953,1,0.05403600876626367
1763324703.3846023,-0.027521637009091316,0.0,0.027521637009091316,0.5186589265734074,0.5758467608701903,0.5096040964126587,0.5678885579109192,0.0,0.0,0.3750324249267578,1,0.05403600876626367
1763324703.404592,-0.027292030699991855,0.0,0.027292030699991855,0.5186589265734074,0.5758467608701903,0.5074046850204468,0.5700879693031311,0.0,0.0,0.3552436828613281,1,0.05403600876626367
1763324703.4248483,-0.02706011849376937,0.0,0.02706011849376937,0.5186589265734074,0.5758467608701903,0.5085043907165527,0.5700879693031311,0.0,0.0,0.5192756652832031,1,0.05403600876626367
