t,theta_ref_deg,theta_pred_deg,p1_MPa,p2_MPa,ps_MPa,pd_MPa,z,ok,mpa_cmd_x,mpa_cmd_y
0.85,30.0,-5.563282286465977,0.017690632897252107,0.022509879252770763,0.04020051215002287,-0.004819246355518655,-0.004228973236568453,1,80.51203594127182,102.4449615770545
0.86,30.0,-5.576571281716728,0.017690632897252107,0.022509879252770763,0.04020051215002287,-0.004819246355518655,-0.004228973236568453,1,80.51203594127182,102.4449615770545
0.87,30.0,-5.589294103420681,0.017690632897252107,0.022509879252770763,0.04020051215002287,-0.004819246355518655,-0.004228973236568453,1,80.51203594127182,102.4449615770545
0.88,30.0,-5.60147452251435,0.017690632897252107,0.022509879252770763,0.04020051215002287,-0.004819246355518655,-0.004228973236568453,1,80.51203594127182,102.4449615770545
0.89,30.0,-5.613135364591465,0.017690632897252107,0.022509879252770763,0.04020051215002287,-0.004819246355518655,-0.004228973236568453,1,80.51203594127182,102.4449615770545
0.9,30.0,-5.62429853934041,0.017690632897252107,0.022509879252770763,0.04020051215002287,-0.004819246355518655,-0.004228973236568453,1,80.51203594127182,102.4449615770545
0.91,30.0,-5.634985070409071,0.017690632897252107,0.022509879252770763,0.04020051215002287,-0.004819246355518655,-0.004228973236568453,1,80.51203594127182,102.4449615770545
0.92,30.0,-5.645215125419672,0.017690632897252107,0.022509879252770763,0.04020051215002287,-0.004819246355518655,-0.004228973236568453,1,80.51203594127182,102.4449615770545
0.93,30.0,-5.655008045907921,0.017690632897252107,0.022509879252770763,0.04020051215002287,-0.004819246355518655,-0.004228973236568453,1,80.51203594127182,102.4449615770545
0.9400000000000001,30.0,-5.664382377004171,0.017690632897252107,0.022509879252770763,0.04020051215002287,-0.004819246355518655,-0.004228973236568453,1,80.51203594127182,102.4449615770545
0.9500000000000001,30.0,-5.673355896710735,0.017690632897252107,0.022509879252770763,0.04020051215002287,-0.004819246355518655,-0.004228973236568453,1,80.51203594127182,102.4449615770545
0.96,30.0,-5.681945644659745,0.017690632897252107,0.022509879252770763,0.04020051215002287,-0.004819246355518655,-0.004228973236568453,1,80.51203594127182,102.4449615770545
0.97,30.0,-5.690167950261487,0.017690632897252107,0.022509879252770763,0.04020051215002287,-0.004819246355518655,-0.004228973236568453,1,80.51203594127182,102.4449615770545
0.98,30.0,-5.698038460174103,0.017690632897252107,0.022509879252770763,0.04020051215002287,-0.004819246355518655,-0.004228973236568453,1,80.51203594127182,102.4449615770545
0.99,30.0,-5.7055721650432805,0.017690632897252107,0.022509879252770763,0.04020051215002287,-0.004819246355518655,-0.004228973236568453,1,80.51203594127182,102.4449615770545
1.0,30.0,-5.71278342547501,0.017690632897252107,0.022509879252770763,0.04020051215002287,-0.004819246355518655,-0.004228973236568453,1,80.51203594127182,102.4449615770545
1.01,30.0,-5.719685997216588,0.017690632897252107,0.022509879252770763,0.04020051215002287,-0.004819246355518655,-0.004228973236568453,1,80.51203594127182,102.4449615770545
1.02,30.0,-5.7262930555309275,0.017690632897252107,0.022509879252770763,0.04020051215002287,-0.004819246355518655,-0.004228973236568453,1,80.51203594127182,102.4449615770545
1.03,30.0,-5.732617218757388,0.017690632897252107,0.022509879252770763,0.04020051215002287,-0.004819246355518655,-0.004228973236568453,1,80.51203594127182,102.4449615770545
1.04,30.0,-5.738670571058942,0.017690632897252107,0.022509879252770763,0.04020051215002287,-0.004819246355518655,-0.004228973236568453,1,80.51203594127182,102.4449615770545
1.05,30.0,-5.74446468436089,0.017690632897252107,0.022509879252770763,0.04020051215002287,-0.004819246355518655,-0.004228973236568453,1,80.51203594127182,102.4449615770545
1.06,30.0,-5.7500106394906,0.017690632897252107,0.022509879252770763,0.04020051215002287,-0.004819246355518655,-0.004228973236568453,1,80.51203594127182,102.4449615770545
1.07,30.0,-5.755319046531239,0.017690632897252107,0.022509879252770763,0.04020051215002287,-0.004819246355518655,-0.004228973236568453,1,80.51203594127182,102.4449615770545
1.08,30.0,-5.760400064405129,0.017690632897252107,0.022509879252770763,0.04020051215002287,-0.004819246355518655,-0.004228973236568453,1,80.51203594127182,102.4449615770545
1.09,30.0,-5.765263419704428,0.017690632897252107,0.022509879252770763,0.04020051215002287,-0.004819246355518655,-0.004228973236568453,1,80.51203594127182,102.4449615770545
1.1,30.0,-5.769918424788438,0.017690632897252107,0.022509879252770763,0.04020051215002287,-0.004819246355518655,-0.004228973236568453,1,80.51203594127182,102.4449615770545
1.11,30.0,-5.774373995167954,0.017690632897252107,0.022509879252770763,0.04020051215002287,-0.004819246355518655,-0.004228973236568453,1,80.51203594127182,102.4449615770545
1.12,30.0,-5.77863866619788,0.017690632897252107,0.022509879252770763,0.04020051215002287,-0.004819246355518655,-0.004228973236568453,1,80.51203594127182,102.4449615770545
1.1300000000000001,30.0,-5.782720609099855,0.017690632897252107,0.022509879252770763,0.04020051215002287,-0.004819246355518655,-0.004228973236568453,1,80.51203594127182,102.4449615770545
1.1400000000000001,30.0,-5.786627646336849,0.017690632897252107,0.022509879252770763,0.04020051215002287,-0.004819246355518655,-0.004228973236568453,1,80.51203594127182,102.4449615770545
1.1500000000000001,30.0,-5.7903672663618355,0.017690632897252107,0.022509879252770763,0.04020051215002287,-0.004819246355518655,-0.004228973236568453,1,80.51203594127182,102.4449615770545
1.16,30.0,-5.793946637762475,0.017690632897252107,0.022509879252770763,0.04020051215002287,-0.004819246355518655,-0.004228973236568453,1,80.51203594127182,102.4449615770545
1.17,30.0,-5.797372622823617,0.017690632897252107,0.022509879252770763,0.04020051215002287,-0.004819246355518655,-0.004228973236568453,1,80.51203594127182,102.4449615770545
1.18,30.0,-5.800651790529038,0.017690632897252107,0.022509879252770763,0.04020051215002287,-0.004819246355518655,-0.004228973236568453,1,80.51203594127182,102.4449615770545
1.19,30.0,-5.803790429023487,0.017690632897252107,0.022509879252770763,0.04020051215002287,-0.004819246355518655,-0.004228973236568453,1,80.51203594127182,102.4449615770545
1.2,30.0,-5.806794557555637,0.017690632897252107,0.022509879252770763,0.04020051215002287,-0.004819246355518655,-0.004228973236568453,1,80.51203594127182,102.4449615770545
1.21,30.0,-5.8096699379220045,0.017690632897252107,0.022509879252770763,0.04020051215002287,-0.004819246355518655,-0.004228973236568453,1,80.51203594127182,102.4449615770545
1.22,30.0,-5.812422085431432,0.017690632897252107,0.022509879252770763,0.04020051215002287,-0.004819246355518655,-0.004228973236568453,1,80.51203594127182,102.4449615770545
1.23,30.0,-5.815056279409074,0.017690632897252107,0.022509879252770763,0.04020051215002287,-0.004819246355518655,-0.004228973236568453,1,80.51203594127182,102.4449615770545
1.24,30.0,-5.81757757325831,0.017690632897252107,0.022509879252770763,0.04020051215002287,-0.004819246355518655,-0.004228973236568453,1,80.51203594127182,102.4449615770545
1.25,30.0,-5.81999080409838,0.017690632897252107,0.022509879252770763,0.04020051215002287,-0.004819246355518655,-0.004228973236568453,1,80.51203594127182,102.4449615770545
1.26,30.0,-5.8223006019949555,0.017690632897252107,0.022509879252770763,0.04020051215002287,-0.004819246355518655,-0.004228973236568453,1,80.51203594127182,102.4449615770545
1.27,30.0,-5.82451139880027,0.017690632897252107,0.022509879252770763,0.04020051215002287,-0.004819246355518655,-0.004228973236568453,1,80.51203594127182,102.4449615770545
1.28,30.0,-5.82662743661881,0.017690632897252107,0.022509879252770763,0.04020051215002287,-0.004819246355518655,-0.004228973236568453,1,80.51203594127182,102.4449615770545
1.29,30.0,-5.828652775914015,0.017690632897252107,0.022509879252770763,0.04020051215002287,-0.004819246355518655,-0.004228973236568453,1,80.51203594127182,102.4449615770545
1.3,30.0,-5.830591303270867,0.017690632897252107,0.022509879252770763,0.04020051215002287,-0.004819246355518655,-0.004228973236568453,1,80.51203594127182,102.4449615770545
1.31,30.0,-5.832446738828638,0.017690632897252107,0.022509879252770763,0.04020051215002287,-0.004819246355518655,-0.004228973236568453,1,80.51203594127182,102.4449615770545
1.32,30.0,-5.834222643397574,0.017690632897252107,0.022509879252770763,0.04020051215002287,-0.004819246355518655,-0.004228973236568453,1,80.51203594127182,102.4449615770545
1.33,30.0,-5.835922425272711,0.017690632897252107,0.022509879252770763,0.04020051215002287,-0.004819246355518655,-0.004228973236568453,1,80.51203594127182,102.4449615770545
1.34,30.0,-5.837549346757544,0.017690632897252107,0.022509879252770763,0.04020051215002287,-0.004819246355518655,-0.004228973236568453,1,80.51203594127182,102.4449615770545
1.35,30.0,-5.839106530409714,0.017690632897252107,0.022509879252770763,0.04020051215002287,-0.004819246355518655,-0.004228973236568453,1,80.51203594127182,102.4449615770545
1.36,30.0,-5.840596965020427,0.017690632897252107,0.022509879252770763,0.04020051215002287,-0.004819246355518655,-0.004228973236568453,1,80.51203594127182,102.4449615770545
1.37,30.0,-5.842023511338847,0.017690632897252107,0.022509879252770763,0.04020051215002287,-0.004819246355518655,-0.004228973236568453,1,80.51203594127182,102.4449615770545
1.3800000000000001,30.0,-5.843388907552207,0.017690632897252107,0.022509879252770763,0.04020051215002287,-0.004819246355518655,-0.004228973236568453,1,80.51203594127182,102.4449615770545
1.3900000000000001,30.0,-5.844695774531999,0.017690632897252107,0.022509879252770763,0.04020051215002287,-0.004819246355518655,-0.004228973236568453,1,80.51203594127182,102.4449615770545
1.4000000000000001,30.0,-5.845946620856139,0.017690632897252107,0.022509879252770763,0.04020051215002287,-0.004819246355518655,-0.004228973236568453,1,80.51203594127182,102.4449615770545
1.41,30.0,-5.8471438476166036,0.017690632897252107,0.022509879252770763,0.04020051215002287,-0.004819246355518655,-0.004228973236568453,1,80.51203594127182,102.4449615770545
1.42,30.0,-5.848289753021656,0.017690632897252107,0.022509879252770763,0.04020051215002287,-0.004819246355518655,-0.004228973236568453,1,80.51203594127182,102.4449615770545
1.43,30.0,-5.849386536801367,0.017690632897252107,0.022509879252770763,0.04020051215002287,-0.004819246355518655,-0.004228973236568453,1,80.51203594127182,102.4449615770545
1.44,30.0,-5.85043630442481,0.017690632897252107,0.022509879252770763,0.04020051215002287,-0.004819246355518655,-0.004228973236568453,1,80.51203594127182,102.4449615770545
1.45,30.0,-5.85144107113695,0.017690632897252107,0.022509879252770763,0.04020051215002287,-0.004819246355518655,-0.004228973236568453,1,80.51203594127182,102.4449615770545
1.46,30.0,-5.852402765822873,0.017690632897252107,0.022509879252770763,0.04020051215002287,-0.004819246355518655,-0.004228973236568453,1,80.51203594127182,102.4449615770545
1.47,30.0,-5.853323234706748,0.017690632897252107,0.022509879252770763,0.04020051215002287,-0.004819246355518655,-0.004228973236568453,1,80.51203594127182,102.4449615770545
1.48,30.0,-5.854204244892539,0.017690632897252107,0.022509879252770763,0.04020051215002287,-0.004819246355518655,-0.004228973236568453,1,80.51203594127182,102.4449615770545
1.49,30.0,-5.855047487753227,0.017690632897252107,0.022509879252770763,0.04020051215002287,-0.004819246355518655,-0.004228973236568453,1,80.51203594127182,102.4449615770545
1.5,30.0,-5.855854582174999,0.017690632897252107,0.022509879252770763,0.04020051215002287,-0.004819246355518655,-0.004228973236568453,1,80.51203594127182,102.4449615770545
1.51,30.0,-5.8566270776625915,0.017690632897252107,0.022509879252770763,0.04020051215002287,-0.004819246355518655,-0.004228973236568453,1,80.51203594127182,102.4449615770545
1.52,30.0,-5.857366457311732,0.017690632897252107,0.022509879252770763,0.04020051215002287,-0.004819246355518655,-0.004228973236568453,1,80.51203594127182,102.4449615770545
1.53,30.0,-5.858074140654337,0.017690632897252107,0.022509879252770763,0.04020051215002287,-0.004819246355518655,-0.004228973236568453,1,80.51203594127182,102.4449615770545
1.54,30.0,-5.858751486381898,0.017690632897252107,0.022509879252770763,0.04020051215002287,-0.004819246355518655,-0.004228973236568453,1,80.51203594127182,102.4449615770545
1.55,30.0,-5.859399794952283,0.017690632897252107,0.022509879252770763,0.04020051215002287,-0.004819246355518655,-0.004228973236568453,1,80.51203594127182,102.4449615770545
1.56,30.0,-5.860020311084909,0.017690632897252107,0.022509879252770763,0.04020051215002287,-0.004819246355518655,-0.004228973236568453,1,80.51203594127182,102.4449615770545
1.57,30.0,-5.8606142261490834,0.017690632897252107,0.022509879252770763,0.04020051215002287,-0.004819246355518655,-0.004228973236568453,1,80.51203594127182,102.4449615770545
1.58,30.0,-5.8611826804500575,0.017690632897252107,0.022509879252770763,0.04020051215002287,-0.004819246355518655,-0.004228973236568453,1,80.51203594127182,102.4449615770545
1.59,30.0,-5.861726765417192,0.017690632897252107,0.022509879252770763,0.04020051215002287,-0.004819246355518655,-0.004228973236568453,1,80.51203594127182,102.4449615770545
1.6,30.0,-5.862247525698385,0.017690632897252107,0.022509879252770763,0.04020051215002287,-0.004819246355518655,-0.004228973236568453,1,80.51203594127182,102.4449615770545
1.61,30.0,-5.862745961164813,0.017690632897252107,0.022509879252770763,0.04020051215002287,-0.004819246355518655,-0.004228973236568453,1,80.51203594127182,102.4449615770545
1.62,30.0,-5.863223028829793,0.017690632897252107,0.022509879252770763,0.04020051215002287,-0.004819246355518655,-0.004228973236568453,1,80.51203594127182,102.4449615770545
1.6300000000000001,30.0,-5.8636796446854555,0.017690632897252107,0.022509879252770763,0.04020051215002287,-0.004819246355518655,-0.004228973236568453,1,80.51203594127182,102.4449615770545
1.6400000000000001,30.0,-5.8641166854607345,0.017690632897252107,0.022509879252770763,0.04020051215002287,-0.004819246355518655,-0.004228973236568453,1,80.51203594127182,102.4449615770545
1.6500000000000001,30.0,-5.864534990304055,0.017690632897252107,0.022509879252770763,0.04020051215002287,-0.004819246355518655,-0.004228973236568453,1,80.51203594127182,102.4449615770545
1.6600000000000001,30.0,-5.864935362393918,0.017690632897252107,0.022509879252770763,0.04020051215002287,-0.004819246355518655,-0.004228973236568453,1,80.51203594127182,102.4449615770545
1.67,30.0,-5.865318570480512,0.017690632897252107,0.022509879252770763,0.04020051215002287,-0.004819246355518655,-0.004228973236568453,1,80.51203594127182,102.4449615770545
1.68,30.0,-5.8656853503612405,0.017690632897252107,0.022509879252770763,0.04020051215002287,-0.004819246355518655,-0.004228973236568453,1,80.51203594127182,102.4449615770545
